timestamp,TEMP,TEMP_qc,PRES,PRES_qc,CNDC,CNDC_qc,PSAL,PSAL_qc,SVEL,SVEL_qc
2019-04-04 13:58:12+00:00,14.6722,1,19.56,1,4.61302,1,38.2633,1,1509.78,1
2019-04-04 13:58:22+00:00,14.6718,1,19.574,1,4.61293,1,38.2628,1,1509.78,1
2019-04-04 13:58:32+00:00,14.6718,1,19.517,1,4.61267,1,38.2604,1,1509.77,1
2019-04-04 13:58:42+00:00,14.6729,1,19.562,1,4.61303,1,38.2626,1,1509.78,1
2019-04-04 13:58:52+00:00,14.673,1,19.569,1,4.61299,1,38.2622,1,1509.78,1
2019-04-04 13:59:02+00:00,14.6735,1,19.524,1,4.61304,1,38.2622,1,1509.78,1
2019-04-04 13:59:12+00:00,14.6746,1,19.548,1,4.61316,1,38.2623,1,1509.78,1
2019-04-04 13:59:22+00:00,14.6731,1,19.557,1,4.61299,1,38.2621,1,1509.78,1
2019-04-04 13:59:32+00:00,14.6728,1,19.532,1,4.61309,1,38.2633,1,1509.78,1
2019-04-04 13:59:42+00:00,14.675,1,19.558,1,4.61326,1,38.2627,1,1509.79,1
2019-04-04 13:59:52+00:00,14.6766,1,19.56,1,4.61326,1,38.2612,1,1509.79,1
2019-04-04 14:00:02+00:00,14.6772,1,19.53,1,4.61315,1,38.2596,1,1509.79,1
2019-04-04 14:00:12+00:00,14.6772,1,19.572,1,4.61317,1,38.2597,1,1509.79,1
2019-04-04 14:00:22+00:00,14.677,1,19.556,1,4.61317,1,38.2598,1,1509.79,1
2019-04-04 14:00:32+00:00,14.6768,1,19.519,1,4.61307,1,38.2592,1,1509.79,1
2019-04-04 14:00:42+00:00,14.6766,1,19.563,1,4.6131,1,38.2597,1,1509.79,1
2019-04-04 14:01:02+00:00,14.6756,1,19.577,1,4.6129,1,38.2588,1,1509.78,1
2019-04-04 14:01:12+00:00,14.6743,1,19.536,1,4.61284,1,38.2595,1,1509.78,1
2019-04-04 14:01:22+00:00,14.6744,1,19.535,1,4.61287,1,38.2597,1,1509.78,1
2019-04-04 14:01:32+00:00,14.6755,1,19.549,1,4.61295,1,38.2593,1,1509.78,1
